Entry	yourlist:M2018111914483A1C7ED25EE8374758DF3FD545FD0155CE6	Gene ontology IDs	Gene names
P04449	852852	GO:0000027; GO:0002181; GO:0003723; GO:0003735; GO:0006412; GO:0022625; GO:1902626	RPL24A RP29 RPL30A YGL031C
P07276	853174	GO:0000014; GO:0000112; GO:0003697; GO:0004520; GO:0005634; GO:0006295; GO:0006366; GO:0046872	RAD2 YGR258C
P41057	851104	GO:0002181; GO:0003735; GO:0008270; GO:0022627	RPS29A RPS36A YS29A YLR388W L8084.11
Q12455	850838	GO:0006596; GO:0006597; GO:0015940; GO:0016768	SPE4 YLR146C L9634.5
Q9UTR5	2542953	GO:0000917; GO:0000935; GO:0005089; GO:0005829; GO:0009272; GO:0030428; GO:0030476; GO:0035023; GO:0035556; GO:0051285; GO:0051286; GO:0051666; GO:0060622	rgf2 SPAC1006.06
O76095	10899	GO:0000278; GO:0000281; GO:0005737; GO:0005739; GO:0005815; GO:0005819; GO:0005887; GO:0006915; GO:0016020; GO:0019901; GO:0030496; GO:0045860	JTB HSPC222
Q04082	852047	GO:0000506; GO:0006506; GO:0017176; GO:0030176; GO:0071555	GPI19 YDR437W D9461.23
P38063	852211	GO:0000287; GO:0002189; GO:0004749; GO:0005524; GO:0005737; GO:0006015; GO:0006164; GO:0009116; GO:0009156; GO:0009165; GO:0016301; GO:0031505	PRS4 PRPS4 YBL068W YBL0619
P87244	2539309	GO:0000922; GO:0000923; GO:0000930; GO:0000931; GO:0005200; GO:0005813; GO:0005816; GO:0005874; GO:0008275; GO:0031122; GO:0043015; GO:0044732; GO:0051301; GO:0051321; GO:0051415; GO:0055031; GO:0090307	alp16 SPCC4G3.19
A4QPA9	5604	GO:0004674; GO:0004708; GO:0005524; GO:0005829; GO:0005886; GO:0007507; GO:0021697; GO:0030182; GO:0030216; GO:0030878; GO:0048538; GO:0048679; GO:0048870; GO:0050772; GO:0060020; GO:0060324; GO:0060440; GO:0060502; GO:0060674; GO:0060711; GO:0070371	MAP2K1 hCG_24510
B4DFY5	5604	GO:0004674; GO:0005524	MAP2K1 hCG_24510
H3BRW9	5604	GO:0004672; GO:0005524	MAP2K1
Q02750	5604	GO:0000165; GO:0000187; GO:0004672; GO:0004674; GO:0004708; GO:0004712; GO:0004713; GO:0005524; GO:0005634; GO:0005737; GO:0005739; GO:0005769; GO:0005770; GO:0005783; GO:0005794; GO:0005815; GO:0005829; GO:0005886; GO:0005925; GO:0006468; GO:0006935; GO:0007050; GO:0007165; GO:0007507; GO:0008022; GO:0008285; GO:0010628; GO:0010629; GO:0018107; GO:0021697; GO:0023014; GO:0030182; GO:0030216; GO:0030878; GO:0031098; GO:0032147; GO:0032872; GO:0043539; GO:0045893; GO:0047485; GO:0048538; GO:0048679; GO:0048870; GO:0050772; GO:0060020; GO:0060324; GO:0060440; GO:0060502; GO:0060674; GO:0060711; GO:0070371; GO:0070374; GO:0071902; GO:0090170; GO:0090398; GO:0097110; GO:1903800; GO:2000641	MAP2K1 MEK1 PRKMK1
P40209	855167	GO:0000981; GO:0005634; GO:0006357; GO:0008270; GO:0043565	GAT2 YMR136W YM9375.05
Q08726	854436	GO:0003924; GO:0005525; GO:0005737; GO:0006606; GO:0034087	GPN2 YOR262W
Q8N5C6	55133	GO:0003729; GO:0003735; GO:0006139; GO:0006412	SRBD1
P32471	851260	GO:0003746; GO:0005085; GO:0005853; GO:0006414; GO:0006449; GO:0032232; GO:1990145	EFB1 TEF5 YAL003W
P38623	850950	GO:0004674; GO:0004683; GO:0005516; GO:0005524; GO:0005737; GO:0006468; GO:0007231; GO:0034599; GO:0040020	RCK2 CLK1 CMK3 YLR248W L9672.6
P39515	853298	GO:0000002; GO:0005743; GO:0005744; GO:0005758; GO:0015450; GO:0030150; GO:0031305	TIM17 MIM17 MPI2 SMS1 YJL143W J0648
