Entry	yourlist:M2018111914483A1C7ED25EE8374758DF3FD545FD0155CE6	Gene ontology IDs	Gene names
Q07471	851479	GO:0000287; GO:0000949; GO:0001102; GO:0004737; GO:0005622; GO:0005634; GO:0005829; GO:0006067; GO:0006090; GO:0006559; GO:0006569; GO:0009083; GO:0016831; GO:0030976; GO:0045944; GO:0047433; GO:0090180	THI3 KID1 YDL080C
Q07986	850725	GO:0005524; GO:0016021	YLR036C
P11353	851614	GO:0004109; GO:0005737; GO:0005829; GO:0006783; GO:0019353; GO:0042803	HEM13 YDR044W YD5112.02
P53201	852885	GO:0000123; GO:0000812; GO:0003677; GO:0003714; GO:0006281; GO:0006325; GO:0006338; GO:0035267; GO:0043486; GO:0043967; GO:0043968; GO:0051276	SWC4 EAF2 GOD1 YGR002C
Q09733	2543168	GO:0000917; GO:0005089; GO:0005826; GO:0005829; GO:0032153; GO:0035023; GO:0035556; GO:0044732; GO:0071341; GO:0120105; GO:1902406; GO:1903617	gef2 SPAC31A2.16
Q02770	856041	GO:0003755; GO:0005684; GO:0005737; GO:0006397; GO:0008380	CWC27 CYP7 YPL064C
P50080	853139	GO:0005886; GO:0005887; GO:0045117; GO:0055085; GO:1901474	AZR1 YGR224W G8537
A0A087WT64	4170	GO:0005739; GO:0016021; GO:0042981	MCL1
C8YZ26	4170	GO:0016021; GO:0042981	MCL1
Q07820	4170	GO:0001709; GO:0005634; GO:0005654; GO:0005737; GO:0005739; GO:0005741; GO:0005829; GO:0007275; GO:0008320; GO:0008630; GO:0010507; GO:0016020; GO:0016021; GO:0019221; GO:0019725; GO:0034097; GO:0042803; GO:0043066; GO:0046982; GO:0051434; GO:0097136; GO:0097192; GO:1903378; GO:2000811; GO:2001020; GO:2001240; GO:2001243	MCL1 BCL2L3
P40489	854706	GO:0000122; GO:0000790; GO:0000981; GO:0001077; GO:0003677; GO:0003700; GO:0005634; GO:0005737; GO:0030287; GO:0030907; GO:0031065; GO:0034599; GO:0071931	XBP1 YIL101C
P34167	856292	GO:0001731; GO:0002181; GO:0003723; GO:0003727; GO:0003743; GO:0005844; GO:0006413; GO:0010494; GO:0033592; GO:0034057; GO:0043024; GO:0097010	TIF3 STM1 TIF42 YPR163C P9325.6
O17909	172432	GO:0004386; GO:0005524; GO:0005634	chd-1 CELE_H06O01.2 H06O01.2
P46997	853277	GO:0005634; GO:0005737	JJJ2 YJL162C J0549
Q07800	850650	GO:0004721; GO:0005886; GO:0006470; GO:0009408; GO:0009651; GO:0071472; GO:1903293	PSR1 YLL010C L1341
Q04013	855282	GO:0000002; GO:0003677; GO:0005371; GO:0005739; GO:0005743; GO:0006842; GO:0006843; GO:0015742; GO:0016021; GO:0042645	YHM2 YMR241W YM9408.03
Q10269	2542851	GO:0005783; GO:0005789; GO:0006696; GO:0008204; GO:0030176; GO:0034737	are1 SPAC13G7.05
P32908	850540	GO:0000070; GO:0000217; GO:0003680; GO:0003682; GO:0003690; GO:0005524; GO:0006302; GO:0007064; GO:0016887; GO:0034990; GO:0042802; GO:0046982; GO:0051301	SMC1 CHL10 YFL008W
Q12481	854461	GO:0000462; GO:0000469; GO:0005654; GO:0005730; GO:0030686; GO:0031167; GO:0042274	RRP36 YOR287C
P47133	853550	GO:0034975; GO:0072546	EMC2 YJR088C J1875
Q12680	851383	GO:0005506; GO:0006537; GO:0010181; GO:0016040; GO:0016491; GO:0019676; GO:0050660; GO:0051538; GO:0097054	GLT1 YDL171C
P17121	851997	GO:0005096; GO:0005856; GO:0005938; GO:0007165; GO:0032956; GO:0035024; GO:0043547; GO:0060237; GO:0090038	SAC7 YDR389W
Q08683	854423	GO:0005680; GO:0007049; GO:0016567; GO:0031145; GO:0031497; GO:0045842; GO:0051301; GO:0061630; GO:0070979	APC5 RMC1 YOR249C
P46998	853279	GO:0016021; GO:0031966	FMP33 YJL161W J0552
Q08773	854480	GO:0000183; GO:0000781; GO:0003682; GO:0003697; GO:0004386; GO:0005524; GO:0005634; GO:0006338; GO:0006348; GO:0006369; GO:0008623; GO:0015616; GO:0016584; GO:0019237; GO:0031491; GO:0043044; GO:0046020; GO:0060195	ISW2 YOR304W
P0CX86	851344	GO:0002181; GO:0003735; GO:0022625	RPL41A RPL47A YL41A YDL184C D1290
P0CX87	851344	GO:0002181; GO:0003735; GO:0022625	RPL41B RPL47B YL41B YDL133C-A YDL133BC
Q10213	2543577	GO:0000725; GO:0003677; GO:0004003; GO:0005524; GO:0005634; GO:0006301; GO:0031297; GO:0034644; GO:0043140; GO:0044732; GO:0072686	srs2 SPAC4H3.05
P38852	856561	GO:0000785; GO:0005634; GO:0005682	LIN1 YHR156C
P25353	850391	GO:0004528; GO:0004551; GO:0006796; GO:0009141; GO:0016021; GO:0016036; GO:0017111; GO:0035529; GO:0047429	NPP1 YCR026C YCR246 YCR26C
P34228	852214	GO:0000981; GO:0005634; GO:0006351; GO:0008270; GO:0030435; GO:0044212	SEF1 YBL066C YBL0501 YBL0526
P38270	852425	GO:0000329; GO:0000407; GO:0015031; GO:0016236; GO:0019898; GO:0030242; GO:0032258; GO:0034045; GO:0034271; GO:0034727; GO:0120095	ATG14 APG14 CVT12 YBR128C YBR1003
P40169	855527	GO:0005886; GO:0005938; GO:0006897; GO:0016021; GO:0030437; GO:0030866; GO:0031505; GO:0032185; GO:0045121	YNL194C N1394
B7ZLE0	25998		IBTK
E7EPI0	25998	GO:0005654	IBTK
Q9P2D0	25998	GO:0001933; GO:0005654; GO:0005737; GO:0016020; GO:0019901; GO:0030292; GO:0051209	IBTK BTKI KIAA1417
Q10185	2543193	GO:0000324; GO:0000329; GO:0005524; GO:0005774; GO:0005794; GO:0016020; GO:0016021; GO:0036246; GO:0042626; GO:0044604; GO:0055085; GO:0071996; GO:0098849	abc2 SPAC3F10.11c
P38129	852497	GO:0000124; GO:0003682; GO:0005669; GO:0006325; GO:0006366; GO:0016573; GO:0032947; GO:0042802; GO:0043130; GO:0046695; GO:0051123	TAF5 TAF90 YBR198C YBR1410
P0CY08	850292,850406	GO:0001198; GO:0001227; GO:0005634; GO:0008301; GO:0043565	MATALPHA2 ALPHA-2 MAT2A MATAL2 YCR039C YCR39C
P0CY09	850292,850406	GO:0001198; GO:0001227; GO:0005634; GO:0008301	HMLALPHA2 YCL067C YCL67C
P53290	853072	GO:0000329; GO:0000790; GO:0003924; GO:0005525; GO:0005634; GO:0005737; GO:0005764; GO:0009267; GO:0010506; GO:0010507; GO:0015031; GO:0016237; GO:0031902; GO:0032008; GO:0034448; GO:0043547; GO:0045944; GO:0071230; GO:1903778; GO:1904263; GO:1990131	GTR2 YGR163W
P28000	855609	GO:0001054; GO:0003677; GO:0005654; GO:0005666; GO:0005736; GO:0006360; GO:0006386; GO:0042254; GO:0042797; GO:0046983	RPC19 YNL113W N1937
O74867	2539160	GO:0005634; GO:0005829; GO:0008540; GO:0070682	SPCC18.17c
Q12375	854297	GO:0000064; GO:0005740; GO:0005743; GO:0006526; GO:0016021; GO:1990575	ORT1 ARG11 YOR130C O3299 YOR3299C
P32623	856671	GO:0000144; GO:0004553; GO:0005576; GO:0006037; GO:0009277; GO:0016757; GO:0031225; GO:0031505	UTR2 CRH2 YEL040W SYGP-ORF18
P36104	853851	GO:0000723; GO:0000781; GO:0003682; GO:0005847; GO:0030846; GO:0030847; GO:0031124; GO:0031126; GO:0034729; GO:0048188; GO:0051568; GO:0080182	SWD2 CPS35 SAF37 YKL018W
P16862	855245	GO:0003729; GO:0003872; GO:0005524; GO:0005739; GO:0005741; GO:0005945; GO:0006002; GO:0006007; GO:0006096; GO:0007035; GO:0016208; GO:0030388; GO:0042802; GO:0046872; GO:0048029; GO:0051259; GO:0051453; GO:0061621; GO:0070072; GO:0070095; GO:1902600	PFK2 YMR205C YM8325.06C
Q99297	854397	GO:0005310; GO:0005313; GO:0005743; GO:0006839; GO:0015183; GO:0015810; GO:0015813; GO:0016021; GO:0043490	ODC2 YOR222W YOR50-12
Q14197	3396	GO:0004045; GO:0005739; GO:0005743; GO:0005759; GO:0005762; GO:0016150; GO:0070125; GO:0070126	MRPL58 DS1 ICT1
P25294	855725	GO:0003677; GO:0005634; GO:0005829; GO:0006413; GO:0006457; GO:0007049; GO:0022627; GO:0035719; GO:0051082; GO:0051085; GO:0051087; GO:0051787; GO:0070843; GO:0071630	SIS1 YNL007C N2879
P41318	855726	GO:0000139; GO:0001558; GO:0005774; GO:0007165; GO:0010008; GO:0030295; GO:0030950; GO:0031234; GO:0031505; GO:0031929; GO:0031930; GO:0031931; GO:0031932; GO:0032008; GO:0032956; GO:0034399	LST8 YNL006W N2005
P10963	853972	GO:0004612; GO:0005524; GO:0005829; GO:0006094	PCK1 PEPC PPC1 YKR097W
P87027	2542761	GO:0003924; GO:0005525; GO:0005816; GO:0006886; GO:0010973; GO:0031028; GO:0032482; GO:0034613; GO:0044732	spg1 sid3 SPAC1565.06c
Q04053	852035	GO:0005768; GO:0005770; GO:0005829; GO:0010008; GO:0015031; GO:0032266; GO:0035091; GO:0042147	SNX41 YDR425W
P53955	855680	GO:0001558; GO:0005546; GO:0005886; GO:0016197; GO:0030036; GO:0030950; GO:0031929; GO:0031932; GO:0035091; GO:0038203; GO:0051017; GO:0070941; GO:0072659	SLM2 LIT1 YNL047C N2515 YNL2515P
P47145	853571	GO:0016042; GO:0016298	YJR107W J1983
P14242	855642	GO:0000710; GO:0003697; GO:0005524; GO:0006298; GO:0016887; GO:0030983; GO:0032300; GO:0032389	PMS1 YNL082W N2317
P22438	853081	GO:0004825; GO:0005524; GO:0005739; GO:0005759; GO:0006431	MSM1 YGR171C
P33338	855478	GO:0000131; GO:0000147; GO:0005886; GO:0005934; GO:0006887; GO:0006897; GO:0007015; GO:0007121; GO:0016021; GO:0030276; GO:0030479; GO:0030674; GO:0031505; GO:0032051; GO:0035091; GO:0035615; GO:0043231; GO:0043325; GO:0048260; GO:0048268; GO:0051015; GO:0080025	SLA2 END4 MOP2 UFG1 YNL243W N1102
Q04279	855110	GO:0005886; GO:0032126; GO:0070941	SEG1 YMR086W YM9582.10
P39961	856933	GO:0000981; GO:0003700; GO:0005634; GO:0006351; GO:0008270; GO:0043565; GO:0045944	YER184C
P39683	854384	GO:0000183; GO:0000781; GO:0001302; GO:0004514; GO:0004516; GO:0005634; GO:0005829; GO:0006348; GO:0009435; GO:0019358; GO:0034355	NPT1 YOR209C
P49089	856268	GO:0004066; GO:0005524; GO:0005829; GO:0006529; GO:0006541; GO:0042803; GO:0070981	ASN1 YPR145W P9659.3
P40069	856846	GO:0005634; GO:0005643; GO:0005737; GO:0006606; GO:0006607; GO:0006610; GO:0008139; GO:0008536; GO:0008565; GO:0010494; GO:0031965; GO:0034399; GO:0051028; GO:2000220	KAP123 YRB4 YER110C
P43558	850500	GO:0003676; GO:0004843; GO:0005634; GO:0005829; GO:0006355; GO:0016579; GO:0030433; GO:0030968; GO:0046872; GO:1904265	OTU1 YFL044C
P36080	853780	GO:0003677; GO:0003723; GO:0005730; GO:0006364; GO:0022625; GO:0042273; GO:0042274	RRP14 YKL082C
P0CX41	852191,856853	GO:0002181; GO:0003735; GO:0022625; GO:0070180	RPL23A RPL17A RPL17AA YBL087C YBL0713
P0CX42	852191,856853	GO:0002181; GO:0003735; GO:0005634; GO:0005829; GO:0022625; GO:0070180	RPL23B RPL17AB RPL17B YER117W
Q04322	855230	GO:0000131; GO:0005096; GO:0005798; GO:0005886; GO:0005934; GO:0005935; GO:0006887; GO:0006888; GO:0015031; GO:0017157	GYL1 APP2 YMR192W YM9646.04
Q8TGS9	1466498		YMR001C-A
P34217	852229	GO:0000077; GO:0000086; GO:0003729; GO:0005634; GO:0005737; GO:0016973; GO:0071014; GO:0071028; GO:1990904; GO:2000815	PIN4 MDT1 YBL051C YBL0506 YBL0516
P34251	853753	GO:0016021; GO:0016491	YKL107W YKL462
Q10137	2543628	GO:0005628; GO:0005634; GO:0008525; GO:0008526; GO:0015031; GO:0030437; GO:0031322; GO:0032153; GO:0035838; GO:0048193; GO:0051286; GO:0060187; GO:0120010; GO:0120014	sec14 spo20 SPAC3H8.10
Q3E792	852911	GO:0002181; GO:0003735; GO:0022627	RPS25A RPS31A YGR027C
M9PD17	40201	GO:0001934; GO:0005096; GO:0005634; GO:0005737; GO:0007165; GO:0007584; GO:0008285; GO:0008340; GO:0010508; GO:0019900; GO:0030178; GO:0030308; GO:0032007; GO:0033596; GO:0035069; GO:0042325; GO:0042632; GO:0043547; GO:0045792; GO:0045886; GO:0046621; GO:0046627; GO:0048477; GO:0051056; GO:0051726; GO:0051898; GO:0055088; GO:0071456; GO:1902350; GO:1904262; GO:2000331	gig 6975 C1 Dmel\CG6975 dTSC2 dTsc2 FBpp0074588 Gigas gig|Tsc2 l(3)109 ME 109 TSC2 Tsc2 tsc2 CG6975 Dmel_CG6975
Q9VW83	40201	GO:0001934; GO:0005096; GO:0005634; GO:0005737; GO:0005829; GO:0007165; GO:0007584; GO:0008285; GO:0008340; GO:0010508; GO:0019900; GO:0030178; GO:0030308; GO:0032007; GO:0033596; GO:0035069; GO:0042325; GO:0042632; GO:0043547; GO:0045792; GO:0045886; GO:0046621; GO:0046627; GO:0048477; GO:0051056; GO:0051726; GO:0051898; GO:0055088; GO:0071456; GO:1902350; GO:1904262; GO:1904515; GO:2000331	gig 6975 C1 Dmel\CG6975 dTSC2 dTsc2 FBpp0074588 Gigas gig|Tsc2 l(3)109 ME 109 TSC2 Tsc2 tsc2 CG6975 Dmel_CG6975
P26783	853587	GO:0000028; GO:0002181; GO:0003729; GO:0003735; GO:0006407; GO:0006412; GO:0006450; GO:0019843; GO:0022627	RPS5 RPS2 YJR123W J2045
G5ED40	176770	GO:0000166; GO:0004008; GO:0005375; GO:0005507; GO:0005774; GO:0005802; GO:0006825; GO:0006878; GO:0016021; GO:0043682; GO:0048471; GO:0060003	cua-1 CELE_Y76A2A.2 Y76A2A.2
G5EE14	176770	GO:0000166; GO:0004008; GO:0005507; GO:0005802; GO:0006825; GO:0006878; GO:0016021; GO:0043682; GO:0048471; GO:0060003	cua-1 CELE_Y76A2A.2 Y76A2A.2
P47818	850917	GO:0000139; GO:0000324; GO:0000329; GO:0005381; GO:0005384; GO:0005774; GO:0005794; GO:0006828; GO:0006874; GO:0006879; GO:0006880; GO:0015093; GO:0015684; GO:0016020; GO:0016021; GO:0030026	CCC1 YLR220W L8083.6
P38273	852428	GO:0001786; GO:0005768; GO:0005770; GO:0005774; GO:0006623; GO:0006914; GO:0007034; GO:0010314; GO:0016236; GO:0017112; GO:0032258; GO:0032266; GO:0032585; GO:0035658; GO:0043547; GO:0044395; GO:0048278; GO:0097352	CCZ1 AUT11 CVT16 YBR131W YBR1006
O94537	2542776	GO:0000956; GO:0004521; GO:0004674; GO:0005524; GO:0005783; GO:0005789; GO:0006397; GO:0016021; GO:0036498	ppk4 SPAC167.01
P15454	852065	GO:0004385; GO:0005524; GO:0005829; GO:0006163; GO:0046711	GUK1 YDR454C D9461.39
Q13003	2899	GO:0001640; GO:0001664; GO:0004970; GO:0005886; GO:0005887; GO:0007215; GO:0007216; GO:0008066; GO:0015276; GO:0015277; GO:0030054; GO:0030424; GO:0030425; GO:0032839; GO:0032983; GO:0035249; GO:0042391; GO:0042734; GO:0043195; GO:0043204; GO:0045211; GO:0050804; GO:0051967; GO:0098978; GO:0099507	GRIK3 GLUR7
A4UZ51	35540	GO:0004884; GO:0005634; GO:0006351; GO:0008270; GO:0035100; GO:0043565	EcR CG1765 Dmel_CG1765
E1JGY2	35540	GO:0004884; GO:0005634; GO:0006351; GO:0008270; GO:0035100; GO:0043565	EcR CG1765 Dmel_CG1765
P34021	35540	GO:0000122; GO:0000976; GO:0000977; GO:0000981; GO:0001047; GO:0001077; GO:0001225; GO:0003677; GO:0004879; GO:0004884; GO:0005102; GO:0005496; GO:0005634; GO:0005700; GO:0005737; GO:0006357; GO:0006629; GO:0006911; GO:0006914; GO:0007155; GO:0007275; GO:0007281; GO:0007291; GO:0007298; GO:0007390; GO:0007406; GO:0007422; GO:0007443; GO:0007468; GO:0007476; GO:0007488; GO:0007552; GO:0007616; GO:0008134; GO:0008230; GO:0008231; GO:0008232; GO:0008258; GO:0008270; GO:0008340; GO:0008362; GO:0008544; GO:0010002; GO:0010506; GO:0016319; GO:0016322; GO:0018990; GO:0030154; GO:0030374; GO:0030425; GO:0035053; GO:0035071; GO:0035072; GO:0035073; GO:0035075; GO:0035076; GO:0035100; GO:0035180; GO:0035188; GO:0035193; GO:0035206; GO:0035297; GO:0038023; GO:0040003; GO:0040034; GO:0042220; GO:0042632; GO:0042803; GO:0043065; GO:0043457; GO:0044130; GO:0045892; GO:0045893; GO:0045938; GO:0045944; GO:0046982; GO:0048477; GO:0048738; GO:0048813; GO:0055088; GO:0070491; GO:0071222; GO:0090575; GO:1904799; GO:1904801	EcR NR1H1 CG1765
P53685	854086	GO:0000790; GO:0005677; GO:0005720; GO:0005724; GO:0005730; GO:0016575; GO:0017136; GO:0030435; GO:0030466; GO:0031618; GO:0032041; GO:0034739; GO:0034967; GO:0045129; GO:0045950; GO:0046872; GO:0046969; GO:0070403; GO:0070623	HST1 YOL068C
P32388	853687	GO:0003735; GO:0005762; GO:0032543	MRP49 YKL167C YKL631
P19881	851362	GO:0004035; GO:0004721; GO:0005829; GO:0006470; GO:0008967; GO:0016311; GO:0016791; GO:0046838	PHO13 YDL236W
P25295	2540223	GO:0000070; GO:0000212; GO:0000226; GO:0000278; GO:0000923; GO:0000930; GO:0003924; GO:0005200; GO:0005525; GO:0005634; GO:0005637; GO:0005737; GO:0005813; GO:0005816; GO:0005819; GO:0005874; GO:0007017; GO:0007020; GO:0007052; GO:0031021; GO:0031122; GO:0043332; GO:0044732; GO:0051256; GO:0061496; GO:0061497; GO:0061499; GO:0071957; GO:1902408	tug1 gtb1 SPBC32F12.04
P53083	852654	GO:0000002; GO:0005739; GO:0005741; GO:0007005; GO:0008289; GO:0015914; GO:0031307; GO:0032865; GO:1990456	MDM34 MMM2 YGL219C
B2ZZ89	6711	GO:0003779; GO:0005200; GO:0005543; GO:0005634; GO:0007182; GO:0008091; GO:0014069; GO:0030673; GO:0031430; GO:0032437; GO:0032991; GO:0044877; GO:0051693; GO:0060390; GO:0072659; GO:0098978	SPTBN1 HEL102 hCG_17370
Q01082	6711	GO:0000165; GO:0000281; GO:0003723; GO:0003779; GO:0005088; GO:0005200; GO:0005516; GO:0005543; GO:0005730; GO:0005737; GO:0005829; GO:0006888; GO:0007009; GO:0007182; GO:0007411; GO:0008091; GO:0014069; GO:0014731; GO:0030506; GO:0030673; GO:0031430; GO:0032437; GO:0032991; GO:0043001; GO:0044877; GO:0045296; GO:0051020; GO:0051693; GO:0060390; GO:0070062; GO:0071709; GO:0072659; GO:0098978; GO:1900042; GO:1903076; GO:1903078	SPTBN1 SPTB2
P40040	856792	GO:0003682; GO:0003690; GO:0003723; GO:0005622; GO:0006351; GO:0016973; GO:0022618	THO1 YER063W
P39743	851996	GO:0003779; GO:0005516; GO:0006897; GO:0008092; GO:0016192; GO:0030479; GO:0042802; GO:0043332; GO:0051666; GO:0060988; GO:0097320; GO:1990528	RVS167 YDR388W D9509.8
Q9H9A7	80010	GO:0000166; GO:0000712; GO:0000724; GO:0002023; GO:0005654; GO:0006260; GO:0009749; GO:0016604; GO:0031422; GO:0035264; GO:0042593	RMI1 C9orf76
P28004	851201	GO:0000350; GO:0005634; GO:0071006; GO:0071007; GO:0071014	PRP45 FUN20 YAL032C
P53322	853175	GO:0005887; GO:0046942; GO:0046943; GO:1903222	TNA1 YGR260W
Q06466	856280	GO:0015031; GO:0016021	TDA6 YPR157W
P38891	856615	GO:0004084; GO:0005739; GO:0005759; GO:0009082; GO:0009083; GO:0009097; GO:0009098; GO:0009099; GO:0019509; GO:0052654; GO:0052655; GO:0052656	BAT1 ECA39 TWT1 YHR208W
O74536	2539109	GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0005975; GO:0006468; GO:0031588; GO:0031593; GO:0035556; GO:0036279; GO:0044732; GO:0046015; GO:1904262; GO:2000766	ssp2 SPCC74.03c
P17608	2543529	GO:0000139; GO:0003924; GO:0005525; GO:0005634; GO:0005794; GO:0005829; GO:0005886; GO:0006886; GO:0006890; GO:0006891; GO:0007264; GO:0010008; GO:0032482; GO:0042147; GO:1904515	ryh1 hos1 its6 SPAC4C5.02c
P13574	856484	GO:0000747; GO:0001403; GO:0003677; GO:0003700; GO:0005634; GO:0005654; GO:0007124; GO:0007329; GO:0019953; GO:0046020; GO:1990526; GO:1990527; GO:2000220	STE12 YHR084W
P37838	856063	GO:0000463; GO:0003723; GO:0005730; GO:0042273; GO:0042802; GO:0070180; GO:1990904	NOP4 NOP77 YPL043W
P40358	853372	GO:0000742; GO:0005783; GO:0005789; GO:0016021; GO:0030433; GO:0031965; GO:0034975; GO:0042175; GO:0051082; GO:0051087; GO:0051787	JEM1 KAR8 YJL073W HRC558 J1083
P11746	855060	GO:0000122; GO:0000790; GO:0000978; GO:0000981; GO:0000982; GO:0001077; GO:0001078; GO:0001102; GO:0001103; GO:0001197; GO:0001198; GO:0003688; GO:0005634; GO:0005829; GO:0006270; GO:0006525; GO:0007275; GO:0008134; GO:0031494; GO:0043565; GO:0044212; GO:0044377; GO:0045944; GO:0046983; GO:0090282; GO:1900465; GO:1900466	MCM1 FUN80 YMR043W YM9532.08
P12385	852440	GO:0002184; GO:0003747; GO:0005829; GO:0006353; GO:0006415; GO:0010494; GO:0016149; GO:0018444; GO:1990825	SUP45 SAL4 SUP1 YBR143C YBR1120
Q06493	856243	GO:0005743; GO:0006813; GO:0016021; GO:0043022; GO:0051204; GO:1902600	YLH47 MRS7 YPR125W
P38324	852529	GO:0005634; GO:0006261; GO:0006281; GO:0006310; GO:0017108; GO:0033557; GO:0046872	SLX1 YBR228W YBR1525
Q06489	856234	GO:0005634; GO:0005737; GO:0019284; GO:0019509; GO:0046523	MRI1 YPR118W P9642.7
P00410	854622	GO:0004129; GO:0005507; GO:0005751; GO:0006123; GO:0009060; GO:0016021; GO:0042773	COX2 OXI1 Q0250
Q09823	2541688	GO:0000790; GO:0005634; GO:0007131; GO:0030998; GO:0042138	rec10 SPAC25G10.04c
A0A024R4E1	64802	GO:0000309; GO:0004515; GO:0005524; GO:0005654; GO:0005737; GO:0009435; GO:0009611; GO:0016604; GO:0043410; GO:0043524; GO:1902511	NMNAT1 hCG_1820992
B1AN62	64802	GO:0003824; GO:0005654; GO:0009058; GO:0016604	NMNAT1
Q9HAN9	64802	GO:0000309; GO:0004515; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0009435; GO:0009611; GO:0016604; GO:0019674; GO:0034628; GO:0042802; GO:0043410; GO:0043524; GO:1902511; GO:1990966	NMNAT1 NMNAT
P36162	853958	GO:0000278; GO:0005737; GO:0005874; GO:0008608; GO:0031116; GO:0042729; GO:0044732; GO:0051010; GO:0051301; GO:0051987; GO:1990023	DAD2 HSK1 YKR083C YKR403
P38336	852560	GO:0000172; GO:0000294; GO:0003723; GO:0004540; GO:0005655; GO:0006364; GO:0008033; GO:0030677; GO:0033204; GO:0034965; GO:0042134; GO:0090502	POP4 YBR257W YBR1725
O94450	2542796	GO:0000790; GO:0003682; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006261; GO:0007062; GO:0042555; GO:1902969	SPAC1687.04
P53390	856260	GO:0005886; GO:0008519; GO:0015696; GO:0016021; GO:0019740	MEP3 AMT3 YPR138C P9659.14
P54000	855055	GO:0003677; GO:0003682; GO:0003713; GO:0005634; GO:0005667; GO:0006303; GO:0006369; GO:0006972; GO:0007329; GO:0032968; GO:0043618; GO:0045944; GO:0045945; GO:0060261; GO:0070898; GO:0075297	SUB1 TSP1 YMR039C YM9532.04C
Q02159	855036	GO:0000209; GO:0000837; GO:0000839; GO:0004842; GO:0005524; GO:0005783; GO:0005789; GO:0005829; GO:0006333; GO:0006511; GO:0030433; GO:0031505; GO:0046686; GO:0061631	UBC7 QRI8 YMR022W YM9711.12
Q02959	855987	GO:0000083; GO:0004407; GO:0005634; GO:0016575; GO:0032041; GO:0045944	HOS3 YPL116W LPH11W
P39678	851503	GO:0000790; GO:0001077; GO:0003677; GO:0005737; GO:0030907; GO:0033309; GO:0071931	MBP1 YDL056W
P38987	854938	GO:0003924; GO:0005525; GO:0005816; GO:0006886; GO:0010458; GO:0031578; GO:0032482; GO:0040001; GO:0044877; GO:0051301; GO:1902542	TEM1 YML064C
P53066	852609		YGL242C HRE181
P31412	853782	GO:0000221; GO:0000329; GO:0005524; GO:0007035; GO:0008553; GO:0015991; GO:0046961	VMA5 VAT3 VATC YKL080W YKL410
Q9P6R7	2540161	GO:0000166; GO:0000289; GO:0000932; GO:0003729; GO:0005829; GO:0015031; GO:0017148; GO:0030371; GO:0043488	SPBC13E7.03c
Q06554	850949	GO:0004386; GO:0004842; GO:0005524; GO:0005634; GO:0006303; GO:0045003; GO:0046872	IRC20 YLR247C
Q9HGM8	2541045	GO:0000723; GO:0000784; GO:0003684; GO:0004386; GO:0005524; GO:0005634; GO:0005829; GO:0006303; GO:0006310; GO:0042162; GO:0043564; GO:0071480; GO:0071481	pku80 ku80 SPBC543.03c
P32350	850641	GO:0004674; GO:0004712; GO:0004713; GO:0005524; GO:0005634; GO:0005737; GO:0006468; GO:0016480; GO:0018105; GO:0046777	KNS1 YLL019C
P52488	851998	GO:0005524; GO:0005634; GO:0005737; GO:0016881; GO:0016925; GO:0019948; GO:0031510; GO:0046872	UBA2 PIP2 UAL1 YDR390C D9509.10
Q12517	854016	GO:0000184; GO:0000290; GO:0000932; GO:0003729; GO:0005634; GO:0005737; GO:0006397; GO:0008047; GO:0031087; GO:0098562; GO:0098745	DCP1 YOL149W
Q06673	851156	GO:0000138; GO:0005797; GO:0006886; GO:0016020; GO:0071555	ECM30 YLR436C
P43378	5780	GO:0004725; GO:0004726; GO:0005654; GO:0005737; GO:0006470; GO:0010977; GO:0035335; GO:0044306; GO:0071345; GO:1903078	PTPN9
Q6IQ43	5780	GO:0004725	PTPN9
P32611	856660	GO:0003723; GO:0003735; GO:0005762; GO:0016740; GO:0032543	RML2 YEL050C SYGP-ORF37
P23797	855324	GO:0000225; GO:0005789; GO:0006506; GO:0016021	GPI12 YMR281W YM8021.07
Q12213	855903	GO:0000463; GO:0000470; GO:0002181; GO:0003735; GO:0005730; GO:0005737; GO:0022625; GO:0042273	RPL7B RPL6B YL8B YPL198W
P12630	854797	GO:0000754; GO:0004190; GO:0005576; GO:0006508; GO:0009277; GO:0030163; GO:0031505; GO:0043171	BAR1 SST1 YIL015W
Q06407	851985	GO:0005096; GO:0005737; GO:0007264; GO:0031106; GO:0032177; GO:0043087; GO:0046872	RGA2 YDR379W D9481.4
P40515	854745	GO:0000266; GO:0000422; GO:0001300; GO:0005741; GO:0005777; GO:0005779; GO:0006915; GO:0007031; GO:0016559; GO:0031307; GO:0043653; GO:0090141	FIS1 MDV2 YIL065C
P40308	855361	GO:0004806; GO:0005811; GO:0007114; GO:0016021; GO:0019433; GO:0044255; GO:0071618	TGL3 YMR313C YM9924.05C
Q9DEA3	373984	GO:0000701; GO:0000785; GO:0003682; GO:0003684; GO:0005634; GO:0005654; GO:0005813; GO:0006272; GO:0006281; GO:0006298; GO:0016604; GO:0019899; GO:0019985; GO:0030337; GO:0030855; GO:0030971; GO:0032077; GO:0032139; GO:0032405; GO:0034644; GO:0035035; GO:0042802; GO:0043596; GO:0043626; GO:0045739; GO:0045740; GO:0070182; GO:0070557	PCNA
