Entry	yourlist:M2018111714483A1C7ED25EE8374758DF3FD545FD01369DP	Gene ontology IDs
P48353	855196	GO:0001671; GO:0005789; GO:0030433
Q92748	7069	GO:0005654; GO:0005829; GO:0006629; GO:0006853; GO:0009617; GO:0010866; GO:0042802; GO:0042803; GO:0046890
Q04018	855285	GO:0016021
Q02804	856056	GO:0003924; GO:0005525; GO:0005794; GO:0005829; GO:0006886; GO:0033365; GO:0034067; GO:0034976; GO:0042175; GO:0043001
P39110	855169	GO:0005525; GO:0005622; GO:0006457; GO:0007021
Q8WY44	9444	
Q96PU8	9444	GO:0003723; GO:0005634; GO:0005737; GO:0006397; GO:0006417; GO:0007275; GO:0008380; GO:0017124; GO:0030154; GO:0051028
Q04162	851995	GO:0005351; GO:0005355; GO:0005887; GO:0008645; GO:0016020; GO:0022857; GO:0055085
P48239	853058	GO:0004364; GO:0005737; GO:0005777; GO:0006749; GO:0045174
Q96EP1	55743	GO:0000166; GO:0000209; GO:0004842; GO:0005634; GO:0006511; GO:0007093; GO:0016567; GO:0016605; GO:0019941; GO:0031398; GO:0031648; GO:0032436; GO:0046872; GO:0051301; GO:0061630
F5GWI9	51019	GO:0071203
F5GZ97	51019	GO:0071203
Q9Y3C0	51019	GO:0005769; GO:0006887; GO:0015031; GO:0030041; GO:0071203
Q3E798	850789	GO:0031307; GO:0045040; GO:0070096
Q12154	851458	GO:0000750; GO:0005085; GO:0005524; GO:0005794; GO:0006620; GO:0006890; GO:0009408; GO:0010038; GO:0016887; GO:0042802; GO:0043529; GO:0045048; GO:0046685; GO:0046872; GO:0051082; GO:0071816; GO:1990507
P19263	850760	GO:0000122; GO:0001093; GO:0001103; GO:0003712; GO:0016592; GO:0045944; GO:0070847
Q03322	852079	GO:0000149; GO:0005484; GO:0005768; GO:0005802; GO:0005829; GO:0006886; GO:0006897; GO:0006906; GO:0012505; GO:0016021; GO:0031201; GO:0031901; GO:0031902; GO:0042147; GO:0048278
P38628	856652	GO:0000287; GO:0004610; GO:0005634; GO:0005737; GO:0006048; GO:0034221; GO:0071555
Q04921	851804	GO:0000281; GO:0000915; GO:0000917; GO:0000921; GO:0003924; GO:0005198; GO:0005525; GO:0005619; GO:0005628; GO:0005829; GO:0005876; GO:0005935; GO:0005940; GO:0015630; GO:0030437; GO:0031105; GO:0032160; GO:0032186; GO:0032947; GO:0060271; GO:0072687; GO:0097271
Q08496	854247	GO:0000781; GO:0001403; GO:0003688; GO:0005634; GO:0006275; GO:0006348; GO:0006511; GO:0007049; GO:0016567; GO:0019005; GO:0030466; GO:0031146; GO:0043624
Q04623	851703	GO:0004623; GO:0005743; GO:0016746; GO:0035965; GO:0052689; GO:0055088; GO:0071555
P53753	855804	GO:0000920; GO:0005576; GO:0008152; GO:0009277; GO:0009986; GO:0030428; GO:0042973; GO:0052861; GO:0052862
P61965	140858	GO:0000123; GO:0001501; GO:0005622; GO:0005634; GO:0005654; GO:0005671; GO:0031175; GO:0035064; GO:0035097; GO:0035948; GO:0042800; GO:0043966; GO:0043981; GO:0043982; GO:0043984; GO:0043995; GO:0043996; GO:0044666; GO:0046972; GO:0048188; GO:0051568; GO:0071339
Q12311	856143	GO:0005737; GO:0016573; GO:0033100; GO:0035064; GO:0046872; GO:1990467; GO:1990468
