Entry	yourlist:M2018111714483A1C7ED25EE8374758DF3FD545FD01369DP	Gene ontology IDs
P07249	855059	GO:0000982; GO:0000987; GO:0005634; GO:0006525; GO:0007275; GO:0008134; GO:0043565; GO:0044212; GO:0045944; GO:0046983; GO:1900079; GO:1900081
P47083	853458	GO:0000447; GO:0000472; GO:0000480; GO:0005654; GO:0005732; GO:0031167; GO:0032040; GO:0034457; GO:0042802
P47187	853626	GO:0005768; GO:0016021; GO:0043328
P38264	852403	GO:0005739; GO:0005783; GO:0005789; GO:0006817; GO:0016020; GO:0016021; GO:0045047; GO:0051604
Q6P1W5	84970	
P53897	855565	GO:0000932; GO:0004864; GO:0004865; GO:0005634; GO:0005737; GO:0035308; GO:0048255; GO:1900152; GO:1901992; GO:1903452; GO:1905183; GO:1905184
P38790	856464	GO:0005739; GO:0006633; GO:0016491; GO:0019171
P53136	852767	GO:0005730; GO:0006364; GO:0030687; GO:0042273
P53865	855496	GO:0005200; GO:0005816; GO:0005824; GO:0007020; GO:0007052; GO:0030435; GO:0051301; GO:0051321
P34167	856292	GO:0001731; GO:0002181; GO:0003723; GO:0003727; GO:0003743; GO:0005844; GO:0006413; GO:0010494; GO:0033592; GO:0034057; GO:0043024; GO:0097010
Q06103	856223	GO:0005198; GO:0005634; GO:0005838; GO:0006511; GO:0008541; GO:0030234; GO:0043161
Q00402	851727	GO:0000001; GO:0000226; GO:0000266; GO:0005543; GO:0005783; GO:0005934; GO:0005938; GO:0015631; GO:0030473; GO:0030989; GO:0032065; GO:0051646
P46681	851376	GO:0003779; GO:0004458; GO:0005739; GO:0005759; GO:0019516; GO:0022904; GO:0031234; GO:0051990; GO:0071949; GO:1903457
P81449	851922	GO:0000276; GO:0005198; GO:0015078; GO:0015986; GO:0042407; GO:0051259; GO:0099132
P47046	853396	GO:0005933; GO:0006312; GO:0016021
Q03714	854979	GO:0000398; GO:0000839; GO:0005789; GO:0016021; GO:0030433; GO:0032461; GO:0032947; GO:0042802
Q00916	854749	GO:0000243; GO:0000398; GO:0003729; GO:0005685; GO:0005689; GO:0030619; GO:0071004
P53135	852765	GO:0000727; GO:0000775; GO:0000790; GO:0003682; GO:0006268; GO:0006270; GO:0007049; GO:0031261
P25582	850304	GO:0000453; GO:0000463; GO:0000466; GO:0005634; GO:0005730; GO:0008650; GO:0016435; GO:0030687; GO:0031167; GO:0070039
Q03429	852104	GO:0005739; GO:0005759; GO:0034551; GO:0044183
P50947	855626	GO:0000118; GO:0000122; GO:0006325; GO:0010507; GO:0016479; GO:0031939; GO:0033698; GO:0035064; GO:0045944; GO:0046872; GO:0061186; GO:0061188; GO:0061408; GO:2000219; GO:2001159
P47124	853538	GO:0000009; GO:0000032; GO:0000136; GO:0006080; GO:0006491; GO:0016757
P39708	851237	GO:0004354; GO:0005634; GO:0005829; GO:0006537
Q12257	851377	
P38080	852351	GO:0000147; GO:0004672; GO:0004674; GO:0005524; GO:0005634; GO:0006468; GO:0007015; GO:0030036; GO:0030100
P25364	850429	GO:0000790; GO:0000981; GO:0003700; GO:0005634; GO:0005737; GO:0006357; GO:0007005; GO:0009653; GO:0030154; GO:0034599; GO:0043565; GO:0045944; GO:0051300
Q02774	851314	GO:0006457; GO:0006865; GO:0006888; GO:0015031; GO:0030176; GO:0051082
P32580	856078	GO:0000372; GO:0000957; GO:0000965; GO:0003723; GO:0004004; GO:0005524; GO:0005759; GO:0006264; GO:0006401; GO:0045025; GO:0090503
P43552	850493	GO:0005886; GO:0016021
Q08193	854127	GO:0005576; GO:0006074; GO:0009277; GO:0031225; GO:0031505; GO:0042124; GO:0071970
P46367	854556	GO:0004029; GO:0004030; GO:0005739; GO:0006067; GO:0006090; GO:0006740; GO:0019413; GO:0042645
P43570	850517	GO:0005096; GO:0005622; GO:0005789; GO:0006888; GO:0016192; GO:0017137
P19139	116549	GO:0000785; GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005886; GO:0006468; GO:0006915; GO:0007049; GO:0008284; GO:0016055; GO:0021987; GO:0030177; GO:0030307; GO:0033574; GO:0043021; GO:0043154; GO:0045732; GO:0048511; GO:0097421; GO:1903076; GO:1905818
P25037	851435	GO:0004197; GO:0004843; GO:0005737; GO:0005783; GO:0006511; GO:0016579
P39113	855323	GO:0000978; GO:0001077; GO:0005634; GO:0005975; GO:0006351; GO:0008270; GO:0035948; GO:0035959; GO:0061414
P07264	852875	GO:0003861; GO:0005829; GO:0009098; GO:0009316; GO:0010494; GO:0046872; GO:0051539
P20795	851112	GO:0000324; GO:0000329; GO:0005524; GO:0005829; GO:0006623; GO:0006896; GO:0006897; GO:0006904; GO:0007033; GO:0030897; GO:0032889; GO:0033263; GO:0034727; GO:0035542; GO:0042144; GO:0048278; GO:0051469; GO:0099022
P53725	855758	GO:0000467; GO:0005634; GO:0005829; GO:0008266; GO:0044877; GO:0071030; GO:0071031; GO:0071035; GO:0071039
P32452	855400	GO:0004106; GO:0004664; GO:0005737; GO:0009094
P46982	853253	GO:0000026; GO:0005794; GO:0006486; GO:0035268; GO:0046354
P49166	850882	GO:0000448; GO:0002181; GO:0003735; GO:0019843; GO:0022625; GO:0030687; GO:0046872
P40558	854814	GO:0002098; GO:0005524; GO:0005737; GO:0005829; GO:0016226; GO:0016887; GO:0046872; GO:0051536; GO:0051539; GO:1904564
Q9Y3D7	51025	GO:0001405; GO:0001503; GO:0005744; GO:0005759; GO:0030150; GO:0031314; GO:0032780; GO:0032991; GO:0090201; GO:1902511
Q12515	851381	GO:0005737
P39994	856694	GO:0000287; GO:0001561; GO:0005777; GO:0016830; GO:0016831; GO:0030976
P03874	856347	GO:0000372; GO:0003723; GO:0005739; GO:0090615
P02293	851810	GO:0000122; GO:0000788; GO:0003677; GO:0006301; GO:0006333; GO:0031298; GO:0046982
Q04182	852015	GO:0005524; GO:0005886; GO:0016021; GO:0042493; GO:0042626; GO:0046618; GO:0055085
P10662	851948	GO:0003735; GO:0004784; GO:0005763; GO:0032543; GO:0046872
Q96HH9	65983	GO:0005881; GO:0042802
P35736	853816	GO:0032126; GO:0045121; GO:0070941
Q12490	852280	GO:0000943; GO:0003677; GO:0003723; GO:0003887; GO:0003964; GO:0004190; GO:0004523; GO:0004540; GO:0005524; GO:0005634; GO:0005737; GO:0006310; GO:0008233; GO:0015074; GO:0032197; GO:0046872
B4DL80	996	GO:0051301
G5EA36	996	GO:0005654; GO:0051301
P30260	996	GO:0005634; GO:0005654; GO:0005680; GO:0005737; GO:0005813; GO:0005819; GO:0005829; GO:0007091; GO:0008283; GO:0019903; GO:0031145; GO:0070979
Q04740	855274	GO:0000287; GO:0003676; GO:0004523; GO:0006401; GO:0043137; GO:0090502
Q12221	856155	GO:0000288; GO:0003729; GO:0005737
Q05043	855045	GO:0005634; GO:0005739; GO:0006366; GO:0006390; GO:0009060; GO:0019722
P53155	852798	GO:0004843; GO:0005634; GO:0005829; GO:0016807; GO:0071108; GO:1990380
Q05863	850987	GO:0003747; GO:0005739; GO:0005762
Q02775	851661	GO:0000350; GO:0003676; GO:0005681; GO:0008270; GO:0071021
Q03774	851743	GO:0005634; GO:0005654; GO:0005829; GO:0043527; GO:0106004; GO:0106143
P38623	850950	GO:0004674; GO:0004683; GO:0005516; GO:0005524; GO:0005737; GO:0006468; GO:0007231; GO:0034599; GO:0040020
Q12532	856098	GO:0000049; GO:0010494; GO:0043023; GO:0043043; GO:0072344; GO:1990112; GO:1990116
Q06216	850979	GO:0000164; GO:0005978; GO:0005979; GO:0019888
P33441	854940	GO:0000445; GO:0000446; GO:0000781; GO:0003676; GO:0006310; GO:0006368; GO:0006397; GO:0006406; GO:0032947; GO:0034063
Q06698	851137	GO:0003723; GO:0005524; GO:0005737; GO:0034459
P37838	856063	GO:0000463; GO:0003723; GO:0005730; GO:0042273; GO:0042802; GO:0070180; GO:1990904
Q99252	854259	GO:0005789; GO:0016021; GO:0016887; GO:0055085; GO:0071555
P02407	854984	GO:0000028; GO:0002181; GO:0003735; GO:0022627
Q01939	852834	GO:0005524; GO:0005634; GO:0006289; GO:0006338; GO:0008540; GO:0016887; GO:0017025; GO:0019904; GO:0031595; GO:0031597; GO:0031625; GO:0032968; GO:0034515; GO:0036402; GO:0043161; GO:0043433; GO:0045899; GO:0051091; GO:0070651; GO:0070682
Q07657	851373	GO:0000082; GO:0000144; GO:0000281; GO:0000915; GO:0000917; GO:0000921; GO:0003924; GO:0005525; GO:0005829; GO:0005940; GO:0010458; GO:0015630; GO:0016020; GO:0031105; GO:0032160; GO:0032186; GO:0032947; GO:0060271; GO:0061163; GO:0097271
Q10740	855682	GO:0004177; GO:0004301; GO:0005634; GO:0005737; GO:0008237; GO:0008270; GO:0030163; GO:0043171; GO:0044255
P01098	851426	GO:0005739; GO:0032780; GO:0042030; GO:0051117
Q04951	855352	GO:0000747; GO:0005576; GO:0005975; GO:0009277; GO:0009986; GO:0015926; GO:0042124; GO:0042973; GO:0071555
Q05029	855277	GO:0000282; GO:0006893; GO:0015031; GO:0016020; GO:0031267; GO:0034044; GO:0034221
P38356	852593	GO:0000324; GO:0000329; GO:0005783; GO:0006511; GO:0006623; GO:0016021; GO:0030001
P40344	855741	GO:0000045; GO:0000153; GO:0000407; GO:0000422; GO:0005829; GO:0006501; GO:0006612; GO:0019776; GO:0032258; GO:0034727; GO:0044805; GO:0061908
P25335	854847	GO:0000256; GO:0004037; GO:0006144
P08432	853651	GO:0004586; GO:0005737; GO:0009446; GO:0015940; GO:0033387
Q07953	850709	GO:0005085; GO:0005634; GO:0005737; GO:0042256
P17214	850934	GO:0000184; GO:0000723; GO:0000781; GO:0003697; GO:0003723; GO:0004540; GO:0005634; GO:0005697; GO:0005730; GO:0005737; GO:0007004; GO:0032210; GO:0042162; GO:0043021; GO:0043487; GO:0070034; GO:0071919
Q01532	855482	GO:0000122; GO:0000978; GO:0003690; GO:0003697; GO:0003729; GO:0004177; GO:0004197; GO:0005737; GO:0005739; GO:0008234; GO:0009636; GO:0043418; GO:0046677
P35172	852286	GO:0004555; GO:0005509; GO:0005737; GO:0005993
A0A024RC34	5932	GO:0000082; GO:0000724; GO:0001835; GO:0004519; GO:0005654; GO:0010792; GO:0032355; GO:0043231
Q99708	5932	GO:0000014; GO:0000082; GO:0000403; GO:0000406; GO:0000724; GO:0000729; GO:0001103; GO:0001835; GO:0003684; GO:0003690; GO:0003697; GO:0003714; GO:0005634; GO:0005654; GO:0006260; GO:0006281; GO:0006289; GO:0006357; GO:0010792; GO:0017053; GO:0032355; GO:0035861; GO:0042802; GO:0043231; GO:0051301; GO:0051321; GO:0070317; GO:0070336
Q3E833	1500489	GO:0000408; GO:0000722; GO:0000781; GO:0005654; GO:0007329; GO:0008033; GO:0031490; GO:0045944; GO:0070525
P38197	852244	GO:0005622; GO:0005634; GO:0005737; GO:0030170
P47056	853414	GO:0016021; GO:0030476
P53077	852626	GO:0004129; GO:0005751; GO:0006123
Q03823	855195	
P32798	854494	GO:0000324; GO:0000329; GO:0005385; GO:0006824; GO:0006829; GO:0006882; GO:0015087; GO:0016021; GO:0031966
P40470	854679	GO:0005730
Q06058	851120	GO:0005783; GO:0006629; GO:0016021; GO:0030176; GO:0032541; GO:0034389; GO:0042802
P23639	854882	GO:0004175; GO:0004298; GO:0005634; GO:0005737; GO:0005839; GO:0010498; GO:0010499; GO:0019773; GO:0034515; GO:0042175; GO:0043161
A0A024R540	26580	GO:0016021; GO:0019915
A0A024R549	26580	GO:0016021; GO:0019915
Q96G97	26580	GO:0016042; GO:0019915; GO:0030176; GO:0034389; GO:0045444; GO:0050995; GO:0120162
Q12060	855821	GO:0000124; GO:0003712; GO:0003713; GO:0005671; GO:0006325; GO:0006357; GO:0006366; GO:0016573; GO:0043966; GO:0046695
P39723	851250	GO:0000022; GO:0000070; GO:0000741; GO:0005200; GO:0005824; GO:0007020; GO:0030473; GO:0031578; GO:0051301
P13134	855483	GO:0004252; GO:0005802; GO:0007323; GO:0016021; GO:0046872
P32794	851113	GO:0005524; GO:0005622; GO:0005737; GO:0016887; GO:0030687; GO:0034214; GO:0042273; GO:0042493
P17260	855394	GO:0005199; GO:0005576; GO:0005886; GO:0009277; GO:0031225; GO:0031505
P38257	852395	GO:0000712; GO:0000790; GO:0003677; GO:0004519; GO:0005634; GO:0006265; GO:0006281; GO:0006302; GO:0006974; GO:0007131; GO:0010520; GO:0031297; GO:0031573; GO:0046872; GO:0048476
Q9UNE7	10273	GO:0000151; GO:0000209; GO:0001664; GO:0002931; GO:0004842; GO:0005634; GO:0005654; GO:0005737; GO:0005783; GO:0005829; GO:0006281; GO:0006511; GO:0006515; GO:0016567; GO:0019899; GO:0019900; GO:0030018; GO:0030433; GO:0030512; GO:0030544; GO:0030579; GO:0030674; GO:0030911; GO:0030968; GO:0031072; GO:0031371; GO:0031398; GO:0031625; GO:0031647; GO:0031943; GO:0032091; GO:0032436; GO:0034450; GO:0034605; GO:0038128; GO:0042405; GO:0042803; GO:0043161; GO:0046332; GO:0051087; GO:0051443; GO:0051604; GO:0051787; GO:0051865; GO:0051879; GO:0061630; GO:0070534; GO:0071218; GO:0071456; GO:0090035; GO:0101031
Q04215	855063	GO:0000943; GO:0003723; GO:0005737; GO:0032197
P40310	853352	GO:0005249; GO:0005267; GO:0005886; GO:0005887; GO:0022841; GO:0030007; GO:0034765; GO:0071805
Q12117	851597	GO:0005216; GO:0005739; GO:0005886; GO:0005933; GO:0016021
P32622	856670	GO:0003951; GO:0005524; GO:0006741; GO:0019674; GO:0042736
P53538	855499	GO:0001174; GO:0004721; GO:0004722; GO:0004725; GO:0005634; GO:0005847; GO:0006367; GO:0006368; GO:0006369; GO:0006378; GO:0008420; GO:0009302; GO:0030846; GO:0030847; GO:0031124; GO:0031564; GO:0070940; GO:0098789
Q03081	856069	GO:0000122; GO:0000981; GO:0000987; GO:0005634; GO:0005737; GO:0006357; GO:0031335; GO:0045944; GO:0046872
Q02648	856077	GO:0005829; GO:0016300; GO:0030488; GO:0052665
P47065	853432	GO:0005759
P40487	854703	GO:0005737; GO:0016740; GO:0017183
P38235	852342	
P40445	854640	GO:0000316; GO:0008272; GO:0015116; GO:0016020; GO:0016021; GO:0072348; GO:1901682
Q08971	855876	GO:0005737
P40034	856777	GO:0005634; GO:0016577; GO:0032968; GO:0035064; GO:0046872; GO:0051864
P39549	851281	GO:0005737; GO:0005783; GO:0005794; GO:0005886; GO:0016021; GO:0016050
P20591	4599	GO:0000266; GO:0003374; GO:0003924; GO:0005525; GO:0005634; GO:0005737; GO:0005789; GO:0005829; GO:0006915; GO:0006952; GO:0007165; GO:0008017; GO:0009615; GO:0016020; GO:0031965; GO:0031966; GO:0034340; GO:0042802; GO:0045071; GO:0045087; GO:0048471; GO:0051607; GO:0060337; GO:0061025
P38844	856546	GO:0000920; GO:0005576; GO:0007124; GO:0009277; GO:0015926; GO:0031225; GO:0071555
Q12107	850792	GO:0005680; GO:0005737; GO:0007049; GO:0016567; GO:0031497; GO:0051301
P23748	855052	GO:0000079; GO:0000086; GO:0004725; GO:0005634; GO:0005737; GO:0010971; GO:0045931; GO:0051301; GO:0110032
Q06479	851066	GO:0016567; GO:0019005
P50095	851152	GO:0000166; GO:0003938; GO:0005737; GO:0006177; GO:0006183; GO:0046872
A0A023T695	989	GO:0005525; GO:0031105
A0A024RA87	989	GO:0005525; GO:0031105
A8K3D0	989	GO:0005525; GO:0031105
B4DNE4	989	GO:0005525; GO:0031105
G3V1Q4	989	GO:0005525; GO:0031105
Q16181	989	GO:0000281; GO:0000777; GO:0000921; GO:0001725; GO:0003924; GO:0005198; GO:0005525; GO:0005634; GO:0005819; GO:0005829; GO:0005930; GO:0005940; GO:0007283; GO:0015630; GO:0016476; GO:0030154; GO:0030496; GO:0031105; GO:0032154; GO:0032160; GO:0032947; GO:0042802; GO:0045296; GO:0051291; GO:0060271; GO:0070062; GO:0097227; GO:0097730; GO:1902857
P53235	852945	GO:0000049; GO:0003743; GO:0006413; GO:0006417; GO:0022626; GO:0022627; GO:0043022
Q99176	850810	GO:0000813; GO:0005768; GO:0006612; GO:0006623; GO:0031902; GO:0032509; GO:0043162; GO:1904669
P33309	855731	GO:0004521; GO:0005737; GO:0006412; GO:0032790; GO:0043022; GO:0045727; GO:0046872; GO:0051301; GO:0051321; GO:0070481; GO:0070651; GO:0070966; GO:0071025; GO:1990533
P46676	851905	GO:0000122; GO:0000978; GO:0001078; GO:0003688; GO:0005634; GO:0010944; GO:0030435; GO:0030466; GO:0032298
P10592	850636	GO:0000049; GO:0000329; GO:0005524; GO:0005576; GO:0005634; GO:0005737; GO:0005739; GO:0005829; GO:0005844; GO:0005886; GO:0006457; GO:0006616; GO:0006986; GO:0009277; GO:0016192; GO:0016887; GO:0031072; GO:0034605; GO:0034620; GO:0035719; GO:0042026; GO:0042623; GO:0043161; GO:0044183; GO:0051082; GO:0051085; GO:0051787; GO:0090344
P40051	856811	GO:0004177; GO:0005634; GO:0005739; GO:0008237; GO:0016485; GO:0030145; GO:0031314; GO:0050821
P40353	854559	GO:0004026; GO:0005789; GO:0005811; GO:0008080; GO:0042493; GO:0044419; GO:0047617; GO:1901089
Q04412	852136	GO:0005096; GO:0005543; GO:0005768; GO:0005802; GO:0006888; GO:0006891; GO:0015031; GO:0046872
P25608	850466	GO:0016491; GO:0046688
P08431	852306	GO:0005737; GO:0008108; GO:0008270; GO:0033499
O95994	10551	GO:0002162; GO:0005154; GO:0005615; GO:0005783; GO:0010628; GO:0010811; GO:0042803; GO:0045742; GO:0048546; GO:0048639; GO:0060480; GO:0060548; GO:0070254; GO:1903078; GO:1903896; GO:1903899
Q4JM46	10551	GO:0005783; GO:0048546; GO:0048639; GO:0060480; GO:0070254
P38737	856355	GO:0000502; GO:0005634; GO:0005737; GO:0032947; GO:0043248
P40155	855507	GO:0005778; GO:0016560; GO:1990415; GO:1990429
P0CX86	851344,851422	GO:0002181; GO:0003735; GO:0022625
P0CX87	851344,851422	GO:0002181; GO:0003735; GO:0022625
Q08949	855907	GO:0000725; GO:0000794; GO:0003677; GO:0005737; GO:0007093; GO:0008408; GO:0030896; GO:0031573; GO:0051321; GO:0051598; GO:0071479
P32178	856173	GO:0004106; GO:0006571; GO:0009073; GO:0009094; GO:0046417
Q03175	855127	GO:0002094; GO:0004659; GO:0005783; GO:0005811; GO:0006486; GO:0016094; GO:0019408; GO:0045547; GO:1904423
P35731	853810	GO:0004316; GO:0005739; GO:0006631; GO:0006633; GO:0009060; GO:0016616; GO:0102131; GO:0102132
A0A1P8ANI1	837454	GO:0000139; GO:0016021
A0A384LL91	837454	GO:0000139; GO:0016021
Q0WRM9	837454	GO:0000139; GO:0016021
Q8LEK2	837454	GO:0005768; GO:0005794; GO:0005802; GO:0007030; GO:0009306; GO:0009826; GO:0016192; GO:0030173; GO:0031901
P20435	856317	GO:0001054; GO:0001172; GO:0003677; GO:0005654; GO:0005665; GO:0005666; GO:0005736; GO:0005737; GO:0006360; GO:0006366; GO:0006383; GO:0006386; GO:0042254; GO:0042797
Q06677	851918	GO:0005737; GO:0005789; GO:0006898; GO:0030276; GO:0031982; GO:0032781; GO:0043130; GO:0043231; GO:0048309; GO:0072318; GO:0072583
P47182	853620	GO:0006081; GO:0018456
P36115	853889	GO:0000183; GO:0000407; GO:0006629; GO:0006914; GO:0009267; GO:0031505; GO:0048017
Q03718	854985	GO:0005634; GO:0006281; GO:0006310; GO:0016925; GO:0030915
P08566	851705	GO:0003855; GO:0003856; GO:0003866; GO:0004764; GO:0004765; GO:0005524; GO:0005737; GO:0009073; GO:0009423; GO:0046872
P40968	851968	GO:0000348; GO:0000350; GO:0000389; GO:0005681; GO:0034399; GO:0071013
P53950	855673	GO:0000329; GO:0005774; GO:0010513; GO:0016021; GO:0033674; GO:0070772; GO:1903778
Q04048	852025	GO:0000349; GO:0000398; GO:0000974; GO:0005634; GO:0005829; GO:0071004; GO:0071006; GO:0071007; GO:0071008; GO:0071013; GO:0071014
Q92328	854153	GO:0000001; GO:0000002; GO:0005741; GO:0005789; GO:0008429; GO:0015914; GO:0015917; GO:0031210; GO:0032865; GO:0045040; GO:0070096; GO:0120009; GO:1901611; GO:1990456
P47141	853565	GO:0003735; GO:0004784; GO:0005763; GO:0032543; GO:0046872
P47053	853407	
P52920	852789	GO:0002098; GO:0005506; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0016226; GO:0016887; GO:0051536; GO:0051539; GO:1904564
P39714	851239	GO:0000721; GO:0005737; GO:0006066; GO:0008270; GO:0034079
Q3E827	1466469	GO:0005634; GO:0005737; GO:0055072
P53224	852926	GO:0005783; GO:0006672; GO:0006986; GO:0016021; GO:0035339; GO:0090155; GO:0090156; GO:1900060
Q8TGS2	1466477	
Q12069	851525	GO:0000455; GO:0003723; GO:0005739; GO:0009982; GO:0031119; GO:0106029
P38865	856580	GO:0000329; GO:0005375; GO:0006878; GO:0015677; GO:0015680; GO:0016021
P24813	852033	GO:0001077; GO:0005634; GO:0005737; GO:0036003; GO:0043565; GO:0045944; GO:0071276
Q3E824	1466480	GO:0000276; GO:0015986; GO:0016021
O74302	851853	GO:0000943; GO:0003723; GO:0005737; GO:0032197
P40054	856814	GO:0004617; GO:0006564; GO:0009070; GO:0051287; GO:0061759
Q08962	855890	GO:0000463; GO:0003723; GO:0005634; GO:0005730; GO:0005737; GO:0030687; GO:0042255; GO:0042273; GO:1902626
Q12743	852020	GO:0005783; GO:0005789; GO:0016021; GO:0030433; GO:0030968
P12962	854450	GO:0003743; GO:0005737; GO:0005845; GO:0010606; GO:0017148
P38812	856500	GO:0005759; GO:0008962; GO:0031314; GO:0032049; GO:0046838
P0CX84	851336,851419	GO:0000463; GO:0002181; GO:0003729; GO:0003735; GO:0022625; GO:0030687
P0CX85	851336,851419	GO:0000463; GO:0002181; GO:0003729; GO:0003735; GO:0022625; GO:0030687
P40987	854531	GO:0000226; GO:0005096; GO:0006457; GO:0007021; GO:0007023; GO:0048487
Q03868	851681	GO:0005628; GO:0005886; GO:0030476; GO:0032120; GO:1902657
P38282	852449	GO:0000349; GO:0000398; GO:0003723; GO:0005634; GO:0005681; GO:0005829; GO:0046540
Q12004	856169	GO:0000112; GO:0000439; GO:0005675; GO:0006289; GO:0006366; GO:0046872; GO:0070816
P39972	856634	
Q12434	851420	GO:0005094; GO:0005096; GO:0005829; GO:0005934; GO:0005935; GO:0007015; GO:0007264; GO:0007266; GO:0016020; GO:0032889; GO:0048365
P28241	854303	GO:0000287; GO:0003723; GO:0004449; GO:0005739; GO:0005962; GO:0006099; GO:0006102; GO:0006537; GO:0051287
P38870	856588	GO:0007165
P50076	853142	GO:0004583; GO:0005789; GO:0006487; GO:0006488; GO:0016021; GO:0106073
P12004	5111	GO:0000083; GO:0000701; GO:0000723; GO:0000784; GO:0000785; GO:0003682; GO:0003684; GO:0005634; GO:0005654; GO:0005657; GO:0005663; GO:0005813; GO:0006272; GO:0006283; GO:0006296; GO:0006297; GO:0006298; GO:0006977; GO:0007507; GO:0008283; GO:0016032; GO:0016567; GO:0016604; GO:0019899; GO:0019985; GO:0030331; GO:0030337; GO:0030855; GO:0030894; GO:0030971; GO:0031297; GO:0032077; GO:0032139; GO:0032201; GO:0032355; GO:0032405; GO:0033683; GO:0034644; GO:0035035; GO:0042276; GO:0042769; GO:0042802; GO:0043596; GO:0043626; GO:0044849; GO:0045739; GO:0045740; GO:0046686; GO:0070062; GO:0070182; GO:0070301; GO:0070557; GO:0070987; GO:0071548; GO:0097421; GO:1902065; GO:1902990
A0A087WT22	7157	GO:0003700; GO:0005634; GO:0005737; GO:0006915; GO:0007049; GO:0044212; GO:0046872
A0A087WXZ1	7157	GO:0003700; GO:0005634; GO:0005737; GO:0006915; GO:0007049; GO:0044212; GO:0046872
A0A087X1Q1	7157	GO:0003700; GO:0005654; GO:0005737; GO:0006915; GO:0007049; GO:0044212; GO:0046872; GO:0051262
H2EHT1	7157	GO:0003700; GO:0005654; GO:0005737; GO:0006915; GO:0007049; GO:0044212; GO:0046872; GO:0051262
K7PPA8	7157	GO:0003700; GO:0005654; GO:0005737; GO:0006915; GO:0007049; GO:0044212; GO:0046872; GO:0051262
P04637	7157	GO:0000122; GO:0000733; GO:0000790; GO:0000978; GO:0000980; GO:0000981; GO:0001046; GO:0001074; GO:0001085; GO:0001094; GO:0001228; GO:0002020; GO:0002039; GO:0003677; GO:0003682; GO:0003700; GO:0003730; GO:0005507; GO:0005524; GO:0005622; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005739; GO:0005759; GO:0005783; GO:0005829; GO:0006284; GO:0006289; GO:0006355; GO:0006914; GO:0006974; GO:0006977; GO:0006978; GO:0006983; GO:0007050; GO:0007265; GO:0007275; GO:0007569; GO:0008104; GO:0008134; GO:0008270; GO:0008283; GO:0008285; GO:0008340; GO:0009299; GO:0010332; GO:0010628; GO:0016032; GO:0016363; GO:0016579; GO:0016605; GO:0019221; GO:0019899; GO:0019901; GO:0019903; GO:0030154; GO:0030308; GO:0030330; GO:0030971; GO:0031497; GO:0031571; GO:0031625; GO:0032461; GO:0032991; GO:0034613; GO:0034644; GO:0035035; GO:0035690; GO:0042149; GO:0042771; GO:0042802; GO:0042826; GO:0042981; GO:0043065; GO:0043066; GO:0043153; GO:0043621; GO:0044212; GO:0045892; GO:0045893; GO:0045899; GO:0045944; GO:0046677; GO:0046827; GO:0046902; GO:0046982; GO:0047485; GO:0048147; GO:0048512; GO:0050731; GO:0051087; GO:0051097; GO:0051262; GO:0051289; GO:0051721; GO:0051974; GO:0065003; GO:0070245; GO:0071158; GO:0071456; GO:0071479; GO:0071480; GO:0072331; GO:0072332; GO:0072717; GO:0090200; GO:0090399; GO:0090403; GO:0097193; GO:0097252; GO:0097718; GO:1900119; GO:1900740; GO:1901796; GO:1902749; GO:1902895; GO:1903800; GO:1990440; GO:1990841; GO:2000379; GO:2001244
Q53GA5	7157	GO:0003700; GO:0005634; GO:0005737; GO:0006915; GO:0007049; GO:0044212; GO:0046872; GO:0051262
Q12163	851740	GO:0000188; GO:0005737; GO:0030674; GO:0043409
Q12317	854037	GO:0000131; GO:0000133; GO:0005096; GO:0005934; GO:0005935; GO:0006886; GO:0006887; GO:0017137; GO:0070649; GO:0090630
Q05785	850903	GO:0000147; GO:0005737; GO:0006897; GO:0007015; GO:0008289; GO:0016020; GO:0030276
P80210	855501	GO:0000287; GO:0003688; GO:0004019; GO:0005525; GO:0005737; GO:0006164; GO:0044208; GO:0046040
A0A024RC24	55364	
Q9P2X3	55364	GO:0000122; GO:0001933; GO:0003779; GO:0005737; GO:0005844; GO:0031333; GO:0031953; GO:0034198; GO:0042149; GO:0043022; GO:0045666; GO:0060548; GO:0060733; GO:0070301; GO:0071264; GO:0071468; GO:0071494; GO:0072755; GO:0097201; GO:1990138; GO:1990253
P43555	850496	GO:0000139; GO:0005537; GO:0005789; GO:0005793; GO:0006888; GO:0007029; GO:0007030; GO:0030134; GO:0030173; GO:0030176; GO:0097367
P38071	852314	GO:0003677; GO:0005739; GO:0005759; GO:0006631; GO:0006633; GO:0009060; GO:0016631; GO:0019166
P38300	852483	GO:0005743; GO:0007007; GO:0032979; GO:0033617; GO:0034551; GO:0043022; GO:0070131
Q0VDD7	79173	GO:0007275
Q99248	854184	GO:0000422; GO:0007049
P50276	852946	GO:0000101; GO:0000102; GO:0005886; GO:0005887; GO:0015179; GO:0015821; GO:0042883; GO:1903692
Q03503	856163	GO:0004596; GO:0005634; GO:0005829; GO:0006474; GO:0017196; GO:0031417; GO:0032880
P43595	850565	GO:0005886; GO:0007127; GO:0016021; GO:0032153; GO:0035838
Q12318	851091	GO:0000725; GO:0000730; GO:0005634; GO:0035861; GO:0070987; GO:0097196
P41058	851498	GO:0002181; GO:0003735; GO:0008270; GO:0022627
